"Date","Average price"
"1",2002-01-01,14735
"2",2002-02-01,14057
"3",2002-03-01,14662
"4",2002-04-01,16334
"5",2002-05-01,18357
"6",2002-06-01,20178
"7",2002-07-01,20904
"8",2002-08-01,21601
"9",2002-09-01,24040
"10",2002-10-01,27040
"11",2002-11-01,31721
"12",2002-12-01,27848
"13",2003-01-01,24267
"14",2003-02-01,25254
"15",2003-03-01,29551
"16",2003-04-01,34845
"17",2003-05-01,36903
"18",2003-06-01,37667
"19",2003-07-01,38269
"20",2003-08-01,39369
"21",2003-09-01,38728
"22",2003-10-01,34842
"23",2003-11-01,34284
"24",2003-12-01,38054
"25",2004-01-01,39516
"26",2004-02-01,40053
"27",2004-03-01,43333
"28",2004-04-01,45492
"29",2004-05-01,34226
"30",2004-06-01,21001
"31",2004-07-01,23544
"32",2004-08-01,25991
"33",2004-09-01,30033
"34",2004-10-01,29768
"35",2004-11-01,27620
"36",2004-12-01,30282
"37",2005-01-01,32520
"38",2005-02-01,32425
"39",2005-03-01,34684
"40",2005-04-01,37355
"41",2005-05-01,35661
"42",2005-06-01,37479
"43",2005-07-01,38378
"44",2005-08-01,35905
"45",2005-09-01,28927
"46",2005-10-01,26385
"47",2005-11-01,30320
"48",2005-12-01,36749
"49",2006-01-01,31220
"50",2006-02-01,34887
"51",2006-03-01,38932
"52",2006-04-01,38326
"53",2006-05-01,38139
"54",2006-06-01,39752
"55",2006-07-01,39966
"56",2006-08-01,40459
"57",2006-09-01,41601
"58",2006-10-01,37899
"59",2006-11-01,38460
"60",2006-12-01,40518
"61",2007-01-01,40974
"62",2007-02-01,40473
"63",2007-03-01,41573
"64",2007-04-01,43623
"65",2007-05-01,44853
"66",2007-06-01,47711
"67",2007-07-01,46581
"68",2007-08-01,46897
"69",2007-09-01,49631
"70",2007-10-01,51000
"71",2007-11-01,54317
"72",2007-12-01,56042
"73",2008-01-01,23370
"74",2008-03-01,32169
"75",2008-04-01,37659
"76",2008-05-01,36047
"77",2008-06-01,34947
"78",2008-07-01,34491
"79",2008-08-01,36460
"80",2008-09-01,31788
"81",2008-10-01,33224
"82",2008-11-01,24351
"83",2008-12-01,31665
"84",2009-01-01,29399
"85",2009-02-01,33394
"86",2009-03-01,27552
"87",2009-04-01,28724
"88",2009-05-01,29100
"89",2009-06-01,30363
"90",2009-07-01,32522
"91",2009-08-01,36231
"92",2009-09-01,29500
"93",2009-10-01,34402
"94",2009-11-01,35317
"95",2009-12-01,37593
"96",2010-01-01,38311
"97",2010-02-01,38620
"98",2010-03-01,39882
"99",2010-04-01,41637
"100",2010-05-01,42262
"101",2010-06-01,40380
"102",2010-07-01,39362
"103",2010-08-01,40169
"104",2010-09-01,42180
"105",2010-10-01,43271
"106",2010-11-01,45291
"107",2010-12-01,15970
"108",2011-01-01,38771
"109",2011-02-01,44627
"110",2011-03-01,46657
"111",2011-04-01,47399
"112",2011-05-01,47700
"113",2011-06-01,48855
"114",2011-07-01,51174
"115",2011-08-01,52228
"116",2011-09-01,52622
"117",2011-10-01,54008
"118",2011-11-01,47635
"119",2011-12-01,51437
"120",2012-01-01,53195
"121",2012-02-01,55632
"122",2012-03-01,58625
"123",2012-04-01,61626
"124",2012-05-01,64367
"125",2012-06-01,58227
"126",2012-07-01,58271
"127",2012-08-01,62559
"128",2012-09-01,66425
"129",2012-10-01,66708
"130",2012-11-01,66946
"131",2012-12-01,69346
"132",2013-01-01,75332
"133",2013-02-01,83571
"134",2013-03-01,91898
"135",2013-04-01,84101
"136",2013-05-01,80803
"137",2013-06-01,77823
"138",2013-07-01,76465
"139",2013-08-01,74939
"140",2013-09-01,73492
"141",2013-10-01,83723
"142",2013-11-01,75717
"143",2013-12-01,76093
"144",2014-01-01,73501
"145",2014-02-01,73357
"146",2014-03-01,73872
"147",2014-04-01,74113
"148",2014-05-01,74503
"149",2014-06-01,73896
"150",2014-07-01,74680
"151",2014-08-01,73785
"152",2014-09-01,73875
"153",2014-10-01,74075
"154",2014-11-01,73633
"155",2014-12-01,73687
"156",2015-01-01,74216
"157",2015-02-01,76618
"158",2015-03-01,74830
"159",2015-04-01,80759
"160",2015-05-01,79099
"161",2015-06-01,80020
"162",2015-07-01,83171
"163",2015-08-01,82642
"164",2015-09-01,82172
"165",2015-10-01,85424
"166",2015-11-01,84703
"167",2015-12-01,84572
"168",2016-01-01,82352
"169",2016-02-01,83244
"170",2016-03-01,83148
"171",2016-04-01,85127
"172",2016-05-01,85058
"173",2016-06-01,84483
"174",2016-07-01,87235
"175",2016-08-01,86946
"176",2016-09-01,86523
"177",2016-10-01,88359
"178",2016-11-01,88665
"179",2016-12-01,88412
"180",2017-01-01,87685
"181",2017-02-01,88240
"182",2017-03-01,87916
"183",2017-04-01,89850
"184",2017-05-01,90209
"185",2017-06-01,89532
"186",2017-07-01,92250
"187",2017-08-01,91629
"188",2017-09-01,91415
"189",2017-10-01,93540
"190",2017-11-01,93130
"191",2017-12-01,92848
"192",2018-01-01,87936
"193",2018-02-01,87660
"194",2018-03-01,88176
"195",2018-04-01,87089
"196",2018-05-01,89018
"197",2018-06-01,87900
"198",2018-07-01,88380
"199",2018-08-01,88365
"200",2018-09-01,87410
"201",2018-10-01,88070
"202",2018-11-01,87374
"203",2018-12-01,87508
"204",2019-01-01,89565
